iter	Passed	Remaining
0	174	174253
1	185	92655
2	194	64678
3	196	48877
4	201	40196
5	204	33865
6	210	29853
7	223	27709
8	239	26340
9	244	24179
10	254	22845
11	259	21347
12	269	20432
13	273	19271
14	275	18084
15	280	17265
16	284	16440
17	285	15595
18	287	14838
19	288	14156
20	294	13717
21	296	13178
22	298	12689
23	300	12209
24	301	11764
25	303	11354
26	304	10976
27	311	10823
28	313	10512
29	316	10231
30	317	9935
31	319	9656
32	327	9583
33	329	9356
34	332	9155
35	338	9055
36	342	8913
37	344	8717
38	346	8530
39	347	8348
40	350	8201
41	353	8067
42	355	7914
43	357	7764
44	359	7624
45	360	7482
46	362	7342
47	363	7212
48	369	7165
49	370	7047
50	372	6932
51	375	6845
52	377	6753
53	380	6668
54	385	6627
55	387	6531
56	390	6452
57	396	6433
58	400	6393
59	402	6300
60	403	6215
61	405	6128
62	406	6049
63	408	5979
64	412	5936
65	414	5871
66	416	5796
67	417	5716
68	421	5680
69	424	5635
70	428	5612
71	431	5557
72	432	5496
73	434	5433
74	435	5371
75	442	5377
76	445	5339
77	447	5284
78	448	5227
79	450	5183
80	453	5148
81	457	5125
82	460	5087
83	461	5037
84	463	4988
85	464	4941
86	465	4888
87	468	4852
88	472	4834
89	474	4795
90	476	4754
91	477	4713
92	479	4675
93	481	4641
94	486	4634
95	488	4604
96	490	4569
97	492	4533
98	493	4495
99	495	4459
100	498	4437
101	499	4401
102	501	4367
103	502	4333
104	505	4307
105	507	4277
106	508	4246
107	513	4238
108	517	4230
109	519	4200
110	520	4170
111	522	4139
112	523	4110
113	525	4082
114	529	4072
115	530	4040
116	531	4012
117	533	3984
118	534	3955
119	536	3933
120	537	3905
121	538	3878
122	542	3867
123	545	3852
124	547	3831
125	548	3807
126	550	3782
127	551	3753
128	552	3729
129	553	3706
130	557	3697
131	558	3674
132	560	3651
133	561	3631
134	563	3612
135	565	3590
136	566	3568
137	567	3544
138	568	3523
139	571	3511
140	574	3497
141	576	3483
142	577	3463
143	579	3444
144	580	3424
145	581	3403
146	583	3383
147	584	3366
148	587	3356
149	589	3338
150	590	3319
151	591	3302
152	593	3285
153	594	3267
154	595	3249
155	597	3230
156	599	3219
157	602	3209
158	604	3199
159	606	3183
160	607	3168
161	609	3154
162	611	3137
163	612	3121
164	613	3104
165	616	3097
166	619	3089
167	620	3073
168	622	3058
169	623	3045
170	625	3032
171	626	3017
172	627	3001
173	630	2992
174	633	2988
175	635	2976
176	637	2962
177	638	2947
178	639	2933
179	641	2920
180	641	2903
181	644	2895
182	646	2886
183	647	2872
184	649	2859
185	650	2847
186	652	2834
187	653	2822
188	654	2809
189	655	2795
190	656	2782
191	661	2783
192	664	2776
193	666	2767
194	667	2756
195	669	2745
196	670	2732
197	671	2720
198	673	2710
199	676	2707
200	679	2701
201	680	2689
202	682	2678
203	683	2667
204	685	2656
205	686	2645
206	688	2637
207	691	2632
208	694	2627
209	695	2616
210	697	2606
211	698	2595
212	699	2584
213	700	2572
214	701	2562
215	704	2558
216	706	2550
217	707	2539
218	709	2529
219	710	2519
220	712	2510
221	713	2499
222	714	2489
223	715	2479
224	717	2472
225	719	2464
226	721	2458
227	723	2450
228	724	2440
229	726	2430
230	727	2420
231	728	2410
232	729	2401
233	730	2391
234	731	2382
235	734	2378
236	736	2370
237	738	2362
238	739	2354
239	740	2346
240	742	2338
241	743	2329
242	744	2319
243	745	2310
244	748	2306
245	750	2300
246	752	2295
247	754	2287
248	755	2279
249	757	2271
250	758	2263
251	759	2255
252	761	2249
253	764	2244
254	765	2237
255	767	2229
256	768	2221
257	770	2215
258	771	2208
259	773	2200
260	774	2192
261	775	2183
262	778	2182
263	781	2178
264	783	2172
265	785	2166
266	786	2158
267	787	2151
268	788	2143
269	789	2135
270	792	2130
271	794	2126
272	795	2118
273	797	2112
274	798	2104
275	799	2098
276	801	2091
277	802	2084
278	803	2077
279	804	2069
280	806	2063
281	808	2058
282	811	2054
283	813	2051
284	815	2045
285	816	2038
286	817	2031
287	818	2024
288	819	2017
289	821	2010
290	823	2006
291	824	2000
292	826	1993
293	827	1986
294	829	1981
295	830	1976
296	832	1970
297	833	1964
298	836	1961
299	839	1959
300	843	1959
301	845	1954
302	847	1950
303	849	1944
304	850	1938
305	853	1936
306	855	1930
307	856	1925
308	860	1923
309	861	1918
310	863	1912
311	864	1906
312	869	1907
313	872	1906
314	874	1902
315	876	1898
316	878	1891
317	880	1887
318	881	1882
319	884	1880
320	887	1877
321	891	1877
322	893	1873
323	895	1867
324	896	1862
325	900	1861
326	901	1856
327	903	1851
328	905	1847
329	906	1841
330	908	1835
331	909	1830
332	912	1827
333	915	1824
334	917	1821
335	918	1816
336	920	1811
337	922	1806
338	923	1800
339	924	1795
340	927	1791
341	930	1790
342	932	1785
343	933	1779
344	934	1774
345	936	1769
346	937	1764
347	939	1759
348	940	1754
349	942	1750
350	944	1746
351	946	1743
352	948	1739
353	950	1734
354	951	1728
355	952	1722
356	953	1717
357	955	1713
358	957	1709
359	959	1706
360	961	1701
361	962	1696
362	964	1691
363	965	1686
364	966	1682
365	968	1677
366	969	1672
367	971	1668
368	973	1664
369	975	1660
370	976	1655
371	978	1651
372	980	1647
373	981	1642
374	982	1637
375	983	1632
376	986	1629
377	988	1626
378	991	1623
379	993	1620
380	995	1616
381	996	1612
382	999	1609
383	1001	1606
384	1002	1601
385	1004	1597
386	1005	1592
387	1006	1588
388	1008	1583
389	1010	1580
390	1011	1575
391	1012	1571
392	1015	1569
393	1018	1566
394	1019	1561
395	1020	1557
396	1022	1552
397	1023	1548
398	1024	1543
399	1026	1539
400	1027	1534
401	1029	1530
402	1030	1527
403	1032	1522
404	1033	1518
405	1036	1515
406	1037	1511
407	1038	1506
408	1039	1502
409	1040	1497
410	1042	1493
411	1043	1489
412	1045	1485
413	1047	1482
414	1049	1478
415	1050	1474
416	1051	1470
417	1052	1466
418	1054	1462
419	1055	1457
420	1056	1453
421	1058	1449
422	1059	1445
423	1061	1442
424	1062	1438
425	1064	1434
426	1065	1430
427	1067	1426
428	1068	1422
429	1070	1418
430	1071	1414
431	1073	1410
432	1074	1407
433	1076	1403
434	1078	1400
435	1080	1397
436	1082	1394
437	1083	1390
438	1085	1386
439	1086	1382
440	1087	1378
441	1089	1375
442	1091	1372
443	1092	1368
444	1094	1365
445	1096	1362
446	1098	1358
447	1099	1354
448	1100	1350
449	1101	1346
450	1103	1343
451	1105	1340
452	1108	1338
453	1110	1335
454	1111	1331
455	1113	1328
456	1114	1324
457	1116	1320
458	1117	1317
459	1119	1313
460	1121	1310
461	1122	1307
462	1124	1303
463	1125	1300
464	1127	1296
465	1128	1293
466	1130	1290
467	1131	1286
468	1132	1282
469	1133	1278
470	1134	1274
471	1138	1273
472	1140	1270
473	1141	1266
474	1142	1263
475	1143	1259
476	1145	1255
477	1146	1252
478	1147	1247
479	1148	1244
480	1149	1240
481	1151	1237
482	1152	1233
483	1155	1231
484	1157	1229
485	1158	1225
486	1160	1222
487	1161	1218
488	1162	1214
489	1163	1211
490	1165	1207
491	1167	1205
492	1168	1201
493	1170	1198
494	1171	1195
495	1173	1192
496	1174	1188
497	1175	1184
498	1176	1181
499	1177	1177
500	1178	1173
501	1179	1170
502	1181	1167
503	1183	1164
504	1185	1161
505	1186	1158
506	1188	1155
507	1189	1151
508	1190	1148
509	1191	1144
510	1192	1141
511	1193	1137
512	1194	1134
513	1196	1131
514	1197	1128
515	1199	1124
516	1200	1121
517	1201	1118
518	1202	1114
519	1204	1111
520	1205	1107
521	1206	1104
522	1207	1101
523	1208	1097
524	1209	1094
525	1210	1091
526	1213	1089
527	1214	1085
528	1215	1082
529	1216	1079
530	1218	1075
531	1219	1072
532	1220	1069
533	1221	1065
534	1222	1062
535	1223	1058
536	1224	1055
537	1225	1052
538	1227	1049
539	1228	1046
540	1229	1042
541	1230	1039
542	1231	1036
543	1233	1033
544	1234	1030
545	1235	1027
546	1236	1023
547	1237	1020
548	1238	1017
549	1239	1014
550	1241	1011
551	1243	1009
552	1244	1006
553	1246	1003
554	1247	1000
555	1248	997
556	1249	993
557	1251	990
558	1252	987
559	1253	984
560	1254	981
561	1255	978
562	1257	975
563	1258	973
564	1260	970
565	1261	967
566	1263	964
567	1264	961
568	1265	958
569	1266	955
570	1267	952
571	1269	949
572	1270	946
573	1272	944
574	1274	941
575	1275	938
576	1276	936
577	1278	933
578	1279	930
579	1280	927
580	1281	924
581	1282	921
582	1283	918
583	1284	915
584	1286	912
585	1287	909
586	1288	906
587	1290	904
588	1291	901
589	1292	898
590	1293	895
591	1294	892
592	1296	889
593	1297	886
594	1298	883
595	1299	880
596	1301	878
597	1303	876
598	1304	873
599	1306	870
600	1307	868
601	1308	865
602	1309	862
603	1311	859
604	1312	856
605	1313	854
606	1315	851
607	1316	848
608	1317	846
609	1319	843
610	1321	841
611	1322	838
612	1323	835
613	1324	832
614	1326	830
615	1327	827
616	1329	825
617	1330	822
618	1333	820
619	1334	817
620	1335	815
621	1337	812
622	1338	810
623	1339	807
624	1341	804
625	1342	801
626	1343	799
627	1344	796
628	1346	793
629	1347	791
630	1348	788
631	1351	787
632	1353	784
633	1354	781
634	1355	779
635	1356	776
636	1358	774
637	1360	771
638	1363	770
639	1366	768
640	1368	766
641	1369	763
642	1371	761
643	1372	758
644	1374	756
645	1376	754
646	1377	751
647	1379	749
648	1382	747
649	1383	745
650	1385	742
651	1386	740
652	1388	737
653	1390	735
654	1393	734
655	1397	732
656	1398	730
657	1400	727
658	1401	725
659	1403	723
660	1405	720
661	1406	718
662	1408	716
663	1410	713
664	1411	711
665	1413	708
666	1414	706
667	1416	703
668	1417	701
669	1419	699
670	1422	697
671	1424	695
672	1426	692
673	1427	690
674	1429	688
675	1430	685
676	1433	684
677	1436	682
678	1439	680
679	1441	678
680	1443	676
681	1444	673
682	1446	671
683	1447	668
684	1449	666
685	1453	665
686	1454	662
687	1456	660
688	1457	658
689	1459	655
690	1460	653
691	1462	650
692	1465	649
693	1466	646
694	1468	644
695	1471	642
696	1472	640
697	1474	637
698	1475	635
699	1477	633
700	1479	630
701	1481	629
702	1484	627
703	1486	624
704	1488	622
705	1489	620
706	1490	617
707	1493	615
708	1496	614
709	1498	611
710	1500	609
711	1502	607
712	1503	605
713	1504	602
714	1506	600
715	1508	598
716	1511	596
717	1514	594
718	1515	592
719	1517	590
720	1518	587
721	1520	585
722	1521	582
723	1524	581
724	1526	579
725	1528	576
726	1530	574
727	1532	572
728	1534	570
729	1535	567
730	1536	565
731	1538	563
732	1540	561
733	1543	559
734	1544	556
735	1545	554
736	1546	552
737	1548	549
738	1549	547
739	1550	544
